IDE/Editor Name," Unterstützt Spezifikation"," Anmerkung"
Visual Studio Code,Ja,"Vollständige Unterstützung "
CLI,Ja,"Es existiert ein offizielles CLI in form eines NPM-Paketes @devcontainer/cli. Dadurch ist es auch möglich (Neo-"VIM und andere Terminal-Texteditoren mit Devcontainern zu verwenden  "
Visual Studio,Ja*,"Stand 01.12.2024: Eigeschränkte unterstützung. Aktuell sind nur C++-Projekte mit CMake unterstützt"
JetBrains IDEs,Ja*,"Stand 01.12.2024 ist die unterstützung in der Beta-Phase und unvollständig. "
VIM,Ja*,"Stand 01.12.2024 gibt es ein community plugin für (Neo-"VIM, welches devcontainer integration ermöglicht. Die vollständigkeit dieses Plugins wurde nicht überprüft. Siehe: https://codeberg.org/esensar/nvim-dev-container"
Sublime Text,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"
Eclipse,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"
Netbeans,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"
Code::Blocks,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"
Notepad++,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"
Emacs,Nein,"Stand 01.12.2024: Es gibt keine offizielle Aussage, ob oder wann es eine Devcontainer unterstzüng geben soll"